date,time,away_team,home_team,predicted_away_score,predicted_home_score,predicted_spread,predicted_total,confidence,market_spread,market_total,spread_edge,total_edge,edge_confidence
2025-11-01,12:00 PM.ET,Army,Air Force,28,24,-3.5,55.5,High,,,,,
2025-11-01,12:00 PM.ET,UCF,Baylor,30,31,-1.5,61.5,High,,,,,
2025-11-01,12:00 PM.ET,Duke,Clemson,24,31,-7.5,56.5,High,,,,,
2025-11-01,12:00 PM.ET,UAB,Connecticut,28,35,-6.5,65.5,High,,,,,
2025-11-01,12:00 PM.ET,West Virginia,Houston,21,28,-7.5,51.5,High,,,,,
2025-11-01,12:00 PM.ET,Rutgers,Illinois,28,35,-7.5,61.5,High,,,,,
2025-11-01,12:00 PM.ET,Navy,North Texas,31,35,-4.5,65.5,High,,,,,
2025-11-01,12:00 PM.ET,Penn St,Ohio St,20,35,-15.5,51.5,High,,,,,
2025-11-01,12:00 PM.ET,Miami FL,SMU,30,26,-3.5,56.5,High,,,,,
2025-11-01,12:00 PM.ET,Vanderbilt,Texas,21,32,-10.5,53.5,High,,,,,
2025-11-01,12:00 PM.ET,Buffalo,Bowling Green,21,26,-5.5,48.5,High,,,,,
2025-11-01,1:00 PM.ET,Arizona St,Iowa St,21,28,-6.5,50.5,High,,,,,
2025-11-01,2:00 PM.ET,East Carolina,Temple,31,24,-7.5,55.5,High,,,,,
2025-11-01,3:00 PM.ET,New Mexico,UNLV,30,38,-7.5,68.5,High,,,,,
2025-11-01,3:00 PM.ET,Louisville,Virginia Tech,33,24,-9.5,57.5,High,,,,,
2025-11-01,3:30 PM.ET,Fresno St,Boise St,17,35,-18.5,54.5,High,,,,,
2025-11-01,3:30 PM.ET,Notre Dame,Boston College,44,14,-29.5,57.5,High,,,,,
2025-11-01,3:30 PM.ET,Florida,Georgia,17,31,-13.5,49.5,High,,,,,
2025-11-01,3:30 PM.ET,Texas Tech,Kansas St,31,30,-1.5,60.5,High,,,,,
2025-11-01,3:30 PM.ET,Old Dominion,ULM,35,21,-14.5,55.5,High,,,,,
2025-11-01,3:30 PM.ET,Indiana,Maryland,34,18,-15.5,53.5,High,,,,,
2025-11-01,3:30 PM.ET,Michigan St,Minnesota,21,28,-6.5,52.5,High,,,,,
2025-11-01,3:30 PM.ET,Louisiana,South Alabama,27,31,-3.5,57.5,High,,,,,
2025-11-01,3:30 PM.ET,Pittsburgh,Stanford,34,21,-13.5,56.5,High,,,,,
2025-11-01,3:30 PM.ET,New Mexico St,WKU,20,34,-13.5,52.5,High,,,,,
2025-11-01,3:30 PM.ET,Delaware,Liberty,21,28,-7.5,53.5,High,,,,,
2025-11-01,3:45 PM.ET,Virginia,California,30,27,-2.5,57.5,High,,,,,
2025-11-01,4:00 PM.ET,Mississippi St,Arkansas,31,35,-3.5,62.5,High,,,,,
2025-11-01,4:00 PM.ET,Oklahoma St,Kansas,21,38,-17.5,58.5,High,,,,,
2025-11-01,4:00 PM.ET,C Michigan,W Michigan,21,28,-6.5,49.5,High,,,,,
2025-11-01,7:00 PM.ET,Arizona,Colorado,28,27,-0.5,55.5,High,,,,,
2025-11-01,7:00 PM.ET,Purdue,Michigan,10,37,-27.5,48.5,High,,,,,
2025-11-01,7:00 PM.ET,South Carolina,Mississippi,20,34,-13.5,53.5,High,,,,,
2025-11-01,7:00 PM.ET,Wyoming,San Diego St,17,24,-6.5,43.5,High,,,,,
2025-11-01,7:30 PM.ET,Kentucky,Auburn,20,28,-8.5,47.5,High,,,,,
2025-11-01,7:30 PM.ET,Wake Forest,Florida St,23,31,-7.5,54.5,High,,,,,
2025-11-01,7:30 PM.ET,USC,Nebraska,34,27,-6.5,60.5,High,,,,,
2025-11-01,7:30 PM.ET,Georgia Tech,NC State,31,26,-5.5,59.5,High,,,,,
2025-11-01,7:30 PM.ET,Washington St,Oregon St,28,24,-4.5,54.5,High,,,,,
2025-11-01,7:30 PM.ET,Oklahoma,Tennessee,27,33,-5.5,60.5,High,,,,,
2025-11-01,8:00 PM.ET,Arkansas St,Troy,21,31,-9.5,54.5,High,,,,,
2025-11-01,10:15 PM.ET,Cincinnati,Utah,21,31,-9.5,54.5,High,,,,,
2025-11-01,10:30 PM.ET,Hawaii,San Jose St,24,27,-3.5,54.5,High,,,,,
2025-10-28,,UTEP,Kennesaw,23,24,-0.5,50.5,High,,,,,
2025-10-28,,James Madison,Texas St,31,27,-4.5,58.5,High,,,,,
2025-10-29,,Jacksonville St,MTSU,33,24,-8.5,57.5,High,,,,,
2025-10-29,,Florida Intl,Missouri St,21,28,-6.5,53.5,High,,,,,
2025-10-30,,Marshall,Coastal Car,34,28,-6.5,61.5,High,,,,,
2025-10-30,,Tulane,UT San Antonio,31,25,-5.5,57.5,High,,,,,
2025-10-31,,Memphis,Rice,35,16,-19.5,53.5,High,,,,,
2025-10-31,,North Carolina,Syracuse,24,27,-3.5,51.5,High,,,,,
2025-10-31,,Sam Houston St,Louisiana Tech,20,30,-10.5,49.5,High,,,,,
